controller,mean_reward,std_reward,p95_latency,breach_pct,waste,mean_pods
champion,-340.19,10.29,0.724,0.222,0.05,8.03
oracle,-342.66,10.68,0.773,0.431,0.043,7.8
trend,-342.16,10.47,0.712,0.236,0.065,8.35
forecast,-341.51,10.45,0.721,0.215,0.058,8.2
HPA@50,-353.16,12.93,0.58,0.076,0.142,9.97
HPA@60,-344.26,10.41,0.682,0.146,0.066,8.42
HPA@70,-344.64,8.64,0.79,0.208,0.019,7.29
HPA@90,-370.54,6.06,0.987,4.389,0.0,5.81
