t,intensity,replicas,avg_cpu_m,p95_latency_s
0.0,0.0,1,720.0,0.0
15.2,0.25,4,7.0,0.0
30.4,0.51,5,166.0,1.039
45.5,0.76,6,169.0,1.096
60.7,0.99,9,167.0,1.17
75.8,0.74,9,111.9,1.12
90.9,0.48,9,112.8,1.307
106.1,0.23,9,112.2,1.204
