t,intensity,replicas,avg_cpu_m,p95_latency_s
0.0,0.0,1,847.0,0.0
15.3,0.25,2,6.0,0.0
30.5,0.51,3,205.5,0.919
45.6,0.76,4,333.3,1.077
60.8,0.99,5,250.5,1.094
76.0,0.73,6,200.0,1.184
91.1,0.48,6,167.3,1.046
106.3,0.23,6,167.3,1.088
