algorithm,run,metric,step,value
DQN,1,train/loss,74880,0.22081
DQN,1,train/loss,75000,0.31673
DQN,1,train/loss,76032,0.2099
DQN,1,train/loss,77184,0.22812
DQN,1,train/loss,78336,0.1772
DQN,1,train/loss,79488,0.19394
DQN,1,train/loss,80000,0.23206
DQN,1,train/loss,80640,0.18205
DQN,1,train/loss,81792,0.17048
DQN,1,train/loss,82944,0.21015
DQN,1,train/loss,84096,0.14205
DQN,1,train/loss,85000,0.15519
DQN,1,train/loss,85248,0.12497
DQN,1,train/loss,86400,0.14695
DQN,1,train/loss,87552,0.17452
DQN,1,train/loss,88704,0.19408
DQN,1,train/loss,89856,0.20761
DQN,1,train/loss,90000,0.14403
DQN,1,train/loss,91008,0.23207
DQN,1,train/loss,92160,0.14103
DQN,1,train/loss,93312,0.14413
DQN,1,train/loss,94464,0.13668
DQN,1,train/loss,95000,0.23715
DQN,1,train/loss,95616,0.1593
DQN,1,train/loss,96768,0.15204
DQN,1,train/loss,97920,0.17626
DQN,1,train/loss,99072,0.16919
DQN,1,train/loss,100000,0.23044
DQN,1,train/loss,100224,0.24884
DQN,1,train/loss,101376,0.22365
DQN,1,train/loss,102528,0.1943
DQN,1,train/loss,103680,0.30042
DQN,1,train/loss,104832,0.2235
DQN,1,train/loss,105000,0.22354
DQN,1,train/loss,105984,0.18862
DQN,1,train/loss,107136,0.2513
DQN,1,train/loss,108288,0.19452
DQN,1,train/loss,109440,0.24232
DQN,1,train/loss,110000,0.27156
DQN,1,train/loss,110592,0.18559
DQN,1,train/loss,111744,0.17293
DQN,1,train/loss,112896,0.21286
DQN,1,train/loss,114048,0.15424
DQN,1,train/loss,115000,0.25762
DQN,1,train/loss,115200,0.25762
DQN,1,train/loss,116352,0.16046
DQN,1,train/loss,117504,0.20084
DQN,1,train/loss,118656,0.23123
DQN,1,train/loss,119808,0.19513
DQN,1,train/loss,120000,0.3003
DQN,1,train/loss,120960,0.16968
DQN,1,train/loss,122112,0.1228
DQN,1,train/loss,123264,0.12595
DQN,1,train/loss,124416,0.14547
DQN,1,train/loss,125000,0.12116
DQN,1,train/loss,125568,0.11081
DQN,1,train/loss,126720,0.14136
DQN,1,train/loss,127872,0.10941
DQN,1,train/loss,129024,0.16429
DQN,1,train/loss,130000,0.12026
DQN,1,train/loss,130176,0.11312
DQN,1,train/loss,131328,0.14407
DQN,1,train/loss,132480,0.16302
DQN,1,train/loss,133632,0.14117
DQN,1,train/loss,134784,0.12295
DQN,1,train/loss,135000,0.17838
DQN,1,train/loss,135936,0.11879
DQN,1,train/loss,137088,0.06591
DQN,1,train/loss,138240,0.14841
DQN,1,train/loss,139392,0.14722
DQN,1,train/loss,140000,0.09804
DQN,1,train/loss,140544,0.13321
DQN,1,train/loss,141696,0.14863
DQN,1,train/loss,142848,0.10711
DQN,1,train/loss,144000,0.1212
DQN,1,train/loss,145000,0.22611
DQN,1,train/loss,145152,0.16271
DQN,1,train/loss,146304,0.20257
DQN,1,train/loss,147456,0.13817
DQN,1,train/loss,148608,0.14707
DQN,1,train/loss,149760,0.21808
DQN,1,train/loss,150000,0.17243
DQN,1,rollout/exploration_rate,1152,0.97568
DQN,1,rollout/exploration_rate,2304,0.95136
DQN,1,rollout/exploration_rate,3456,0.92704
DQN,1,rollout/exploration_rate,4608,0.90272
DQN,1,rollout/exploration_rate,5000,0.89447
DQN,1,rollout/exploration_rate,5760,0.8784
DQN,1,rollout/exploration_rate,6912,0.85408
DQN,1,rollout/exploration_rate,8064,0.82976
DQN,1,rollout/exploration_rate,9216,0.80544
DQN,1,rollout/exploration_rate,10000,0.78891
DQN,1,rollout/exploration_rate,10368,0.78112
DQN,1,rollout/exploration_rate,11520,0.7568
DQN,1,rollout/exploration_rate,12672,0.73248
DQN,1,rollout/exploration_rate,13824,0.70816
DQN,1,rollout/exploration_rate,14976,0.68384
DQN,1,rollout/exploration_rate,15000,0.68335
DQN,1,rollout/exploration_rate,16128,0.65952
DQN,1,rollout/exploration_rate,17280,0.6352
DQN,1,rollout/exploration_rate,18432,0.61088
DQN,1,rollout/exploration_rate,19584,0.58656
DQN,1,rollout/exploration_rate,20000,0.5778
DQN,1,rollout/exploration_rate,20736,0.56224
DQN,1,rollout/exploration_rate,21888,0.53792
DQN,1,rollout/exploration_rate,23040,0.5136
DQN,1,rollout/exploration_rate,24192,0.48928
DQN,1,rollout/exploration_rate,25000,0.47224
DQN,1,rollout/exploration_rate,25344,0.46496
DQN,1,rollout/exploration_rate,26496,0.44064
DQN,1,rollout/exploration_rate,27648,0.41632
DQN,1,rollout/exploration_rate,28800,0.392
DQN,1,rollout/exploration_rate,29952,0.36768
